Basketball Still Open,Borough,ClosureType,EditDate,GISpropNum,Handball Still Open,MPPA Still Open,OMPpropID,Red Sign Installed,Status,Tennis Still Open,accessibility,accessibilityLevel,location,name,point,rules,system,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
,Q,Completely Locked,05/21/2020 11:09:07 AM,Q414,,,Q414,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,N Conduit Ave. and 149 Ave.bet. Whitelaw St. and Lafayette St.,Rocket Playground,POINT (-73.8465596625497 40.67068311296701),Adults Allowed,Q414-CPA-0001,"24,013",62,3,41,64
,M,Completely Locked,05/21/2020 11:07:34 AM,M154,,,M154,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 45 St. bet. 9 Ave. and 10 Ave.,Mathews-Palmer Playground,POINT (-73.99285552744134 40.76128980892847),Adults Allowed,M154-CPA-0001,"13,094",12,4,10,10
false,X,Completely Locked,05/21/2020 11:09:31 AM,X001A,,,X001A-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Morton Pl & University Ave,Morton Plgd,POINT (-73.91423156715948 40.851204610576566),Adults Allowed,X001A-CPA-0001,"10,931",6,5,29,29
,B,Completely Locked,05/21/2020 11:06:11 AM,B216,,,B216,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Marcus Garvey Blvd. bet. Monore St. and Madison St.,Raymond Bush Playground,POINT (-73.9389582470139 40.68648340007733),Adults Allowed,B216-CPA-0001,"18,181",69,2,49,51
,Q,Completely Locked,05/21/2020 11:08:07 AM,Q021B,,,Q021B,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,McLaughlin Playground,POINT (-73.76634505944169 40.72556914094872),Adults not allowed in some locations,Q021B-CPA-0001,"24,332",25,3,16,65
,B,Completely Locked,05/21/2020 11:05:54 AM,B102,,,B102,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Classon Ave. bet. Fulton St. and Lefferts Pl.,Crispus Attucks Playground,POINT (-73.95896973384224 40.68146499561285),Adults Allowed,B102-CPA-0001,"13,829",68,2,49,55
,Q,Partially Locked,05/21/2020 11:08:26 AM,Q122,,,Q122,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,34 Ave. bet. 96 St. and Junction Blvd.,Junction Playground,POINT (-73.87214706962544 40.75470591159668),Adults Allowed,Q122-CPA-0001,"14,783",65,3,21,73
,X,Not Lockable,05/21/2020 11:09:33 AM,X010,,,X010-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Crotona Ave, Crotona Pk N",Crotona Playground (1),POINT (-73.89475796534899 40.842112080996365),Adults not allowed in some locations,X010-CPA-0001,,34,5,43,25
,B,Completely Locked,05/21/2020 11:05:59 AM,B149A,,true,B149A,,COVID-19 Closure,,false,Not Applicable,Elton St. bet. New Lots Ave. and Hegeman Ave.,Elton Playground,POINT (-73.88101247358124 40.66620012367576),Adults Allowed,B149A-CPA-0001,"17,215",45,2,25,47
,B,Completely Locked,05/21/2020 11:10:37 AM,B118B,,,B118B,true,COVID-19 Closure,,,,,St. Mary's Park,POINT (-73.9972220658303 40.676430721454615),,,"13,514",14,2,27,48
,B,Completely Locked,05/21/2020 11:06:53 AM,B353,,,B353,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 71 St. between Ave. N and Ave. T,Bergen Beach Playground,POINT (-73.90968223904605 40.62224561527127),Adults Allowed,B353-CPA-0001,"13,825",5,2,8,38
,M,Completely Locked,05/21/2020 11:07:56 AM,M321,,,M321,,COVID-19 Closure,,false,Not Applicable,"E. 12 St., E. 11 St. bet. 1 Ave. and Ave. A",Lower East Side Playground,POINT (-73.98307930621863 40.72929579816745),Unknown,M321-CPA-0001,"11,729",70,4,50,5
,M,Completely Locked,05/21/2020 11:07:21 AM,M072,,,M072-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 142 St & Riverside Dr,Riverbank Plgd,POINT (-73.95378205025877 40.82572355635538),Unknown,M072-CPA-0001,"12,428",37,4,23,19
,X,Partially Locked,05/21/2020 11:10:08 AM,X217,,,X217,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 141 St to E 140 St bet. Willis Av and Alexander Av,Willis Playground,POINT (-73.9224622870262 40.81107548773053),Adults Allowed,X217-CPA-0001,"10,932",49,5,35,23
,Q,Completely Locked,05/21/2020 11:08:21 AM,Q099,,,Q099-55,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,On Path Between Passarelle Building And Fountain Of Planets (in Zone 14),Buzz Vollmer Playground,POINT (-73.84155328301553 40.749960780673746),Unknown,Q099-CPA-0008,"14,510",67,3,21,68
,Q,Partially Locked,05/21/2020 11:09:00 AM,Q378,,,Q378,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,101 Ave. bet. 92 St. and 83 St.,Ampere Playground,POINT (-73.85678394270505 40.681646563762946),Adults Allowed,Q378-CPA-0001,"24,012",46,3,41,60
,Q,Partially Locked,05/21/2020 11:08:55 AM,Q356,,,Q356,,COVID-19 Closure,,false,Not Applicable,67 Ave. bet. 230 St. and 233 St.,Alley Park,POINT (-73.74597545029992 40.74698486554804),Adults Allowed,Q356-CPA-0001,"14,506",26,3,16,69
,B,Not Lockable,05/21/2020 11:05:51 AM,B077,,,B077-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"King, Richards & Dwight Sts",Coffey Park Playground,POINT (-74.00872275061043 40.676907922843014),Adults not allowed in some locations,B077-CPA-0001,"13,514",14,2,7,48
,X,Completely Locked,05/21/2020 11:09:49 AM,X113,,,X113,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Spofford Av bet. Faile St and Hunts Point Av,Hunts Point Playground,POINT (-73.88604608351588 40.81417818884226),Adults Allowed,X113-CPA-0001,"12,343",8,5,43,24
,Q,Completely Locked,05/21/2020 11:09:07 AM,Q421,,,Q421,,COVID-19 Closure,,false,Not Applicable,160 Ave. bet. 88 St. and 89 St.,Walter Ward Playground,POINT (-73.84372515488458 40.65713470739692),Adults Allowed,Q421-CPA-0001,"15,314",62,3,41,64
,M,Completely Locked,05/21/2020 11:07:48 AM,M240,,,M240,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Audubon Ave., W. 169 St. and W. 170 St.",Audubon Playground,POINT (-73.93813598595109 40.84173305079142),Adults Allowed,M240-CPA-0001,"13,090",47,4,39,21
,B,Completely Locked,05/21/2020 11:06:58 AM,B391,,,B391,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Argyle Rd. and Cortelyou Rd.,Lt. Federico Narvaez Tot Lot,POINT (-73.96591853569674 40.640267443927),Adults not allowed in some locations,B391-CPA-0001,"17,620",60,2,11,43
,B,Completely Locked,05/21/2020 11:05:43 AM,B032,,,B032-02,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,DeKalb Ave & Washington Pk,Fort Greene Park,POINT (-73.97368981550773 40.69028369166814),Unknown,B032-CPA-0002,"16,865",68,2,48,55
false,X,Not Lockable,05/21/2020 11:10:00 AM,X172,false,false,X172,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Allerton Ave. bet. Throop Ave. and Bouck Ave.,Allerton Playground,POINT (-73.85051321352483 40.86558574299954),Adults Allowed,X172-CPA-0001,"11,607",59,5,12,32
,M,Completely Locked,05/21/2020 11:07:17 AM,M066,,,M066,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 17 St., 8 Ave. To 9 Ave.",Dr. Gertrude B. Kelly Playground,POINT (-74.00190759338912 40.74161986180136),Adults Allowed,M066-CPA-0001,"12,074",12,4,10,6
,R,Not Lockable,05/21/2020 11:09:27 AM,R100,,,R100,,COVID-19 Closure,,false,Not Applicable,"Drumgoole Rd. W., Grantwood Ave., Carlton Ave., Rathbun Ave.",Drumgoole Tot Lot,POINT (-74.18004561017962 40.54914586501815),Adults Allowed,R100-CPA-0001,"10,699",15,1,9,77
,X,Completely Locked,05/21/2020 11:09:36 AM,X020,,,X020,,COVID-19 Closure,,false,Not Applicable,Jerome Park Resevoir and Sedgwick Av bet. W,Fort Independence Playground,POINT (-73.89603138416986 40.88164642284838),Adults Allowed,X020-CPA-0001,"11,272",48,5,40,33
,R,Completely Locked,05/21/2020 11:09:21 AM,R064,,,R064,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Schmidts La., Manor Rd. and Laguardia Ave.",Christopher J. Igneri Playground,POINT (-74.11972103938858 40.608684852850764),Adults Allowed,R064-CPA-0001,"10,700",30,1,13,76
,B,Completely Locked,05/21/2020 11:05:46 AM,B057,,,B057-04,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,S/O Ave U & E 38 St,Lenape Playground,POINT (-73.92633463041014 40.60630479483109),Unknown,B057-CPA-0002,"13,825",5,2,8,38
,Q,Completely Locked,05/21/2020 11:09:13 AM,Q456,,,Q456,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bay Blvd. bet. E 9 Rd. and E 10 Rd.,Gene Gray Playground,POINT (-73.81915502806407 40.6061999532459),Adults not allowed in some locations,Q456-CPA-0001,"20,531",51,3,41,58
,M,Completely Locked,05/21/2020 11:07:04 AM,M010,,,M010-167,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,84 St & Central Park West,Mariner's Gate Plgd,POINT (-73.9696490742052 40.78406021476048),Unknown,M010-CPA-0010,,19,4,19,13
,R,Completely Locked,05/21/2020 11:10:35 AM,R046,,,R046-05,,COVID-19 Closure,,,,,Playland Playground,POINT (-74.06752237610642 40.58891429251966),,,"10,692",31,1,14,76
,B,Completely Locked,05/21/2020 11:06:18 AM,B235,,,B235,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ave. V between Nostrand Ave. and Batchelder St.,Herman Dolgon Playground,POINT (-73.93949161638577 40.59817760643549),Adults Allowed,B235-CPA-0001,"13,512",32,2,8,36
,Q,Completely Locked,05/21/2020 11:08:34 AM,Q163,,,Q163-21,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Shorefront Parkway And Beach 74 St,Rockaway Beach Playground,POINT (-73.80184216548952 40.586385582945695),Unknown,Q163-CPA-0003,"20,530",51,3,41,58
false,X,Partially Locked,05/21/2020 11:09:59 AM,X166,false,false,X166,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Tinton Av bet. E 166 St and E 165 St,Behagen Playground,POINT (-73.90119104664835 40.82534206980978),Adults Allowed,X166-CPA-0001,"10,934",34,5,42,25
,X,Not Lockable,05/21/2020 11:09:31 AM,X002,,,X002-04,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lydig Ave, Bronx Pk E",Ben Abrams Playground,POINT (-73.8701593339941 40.854486519922034),Adults Allowed,X002-CPA-0001,"11,271",28,5,22,32
,R,Completely Locked,05/21/2020 11:09:27 AM,R106,,,R106-01,,COVID-19 Closure,,false,Not Applicable,"Ramona Ave, Lenevar Ave",Bloomingdale Playground,POINT (-74.20878845419341 40.53517448172024),Adults not allowed in some locations,R106-CPA-0001,"10,696",15,1,9,77
,B,Completely Locked,05/21/2020 11:06:16 AM,B227,,,B227,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Ave. bet. Blake Ave. and Dumont Ave.,P.S. 125 Playground,POINT (-73.90926429519091 40.66513125352902),Adults Allowed,B227-CPA-0001,"17,614",55,2,17,46
,Q,Completely Locked,05/21/2020 11:08:37 AM,Q226,,,Q226-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Vernon Blvd, Main Ave",Hallets Cove Playground (area A),POINT (-73.93444767124964 40.77182038823631),Adults Allowed,Q226-CPA-0001,"16,859",39,3,4,72
,M,Completely Locked,05/21/2020 11:07:23 AM,M088,,,M088-01,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,East 9 St & Ave A,Tompkins Square Park,POINT (-73.98254826473557 40.726789086147285),Adults not allowed in some locations,M088-CPA-0001,"11,729",70,4,50,5
,Q,Completely Locked,05/21/2020 11:08:08 AM,Q024,,,Q024-02,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,164 St & Lithonia,Playground,POINT (-73.80313965720343 40.748674361455166),Unknown,Q024-CPA-0001,"14,507",22,3,3,67
,M,Completely Locked,05/21/2020 11:07:38 AM,M195,,,M195,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Lewis St. bet. Delancey St. and Broome St.,Sidney Hillman Playground,POINT (-73.97956722618575 40.71533931838738),Adults Allowed,M195-CPA-0001,"11,723",70,4,32,4
,R,Completely Locked,05/21/2020 11:09:24 AM,R073,,,R073,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Targee St, Stanwich St. Rome Ave.",Naples Playground,POINT (-74.09065717313047 40.60218552952066),Unknown,R073-CPA-0001,"10,691",30,1,14,76
,X,Completely Locked,05/21/2020 11:10:28 AM,X210,,,X210,,COVID-19 Closure,,,,,Governor Smith Playground,POINT (-73.92061176844224 40.81947761618834),,,"10,929",49,5,43,23
,X,Not Lockable,05/21/2020 11:09:39 AM,X038,,,X038-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Strong St, Reservoir Ave",Strong Street Plgd,POINT (-73.8981487856322 40.87142546640345),Adults not allowed in some locations,X038-CPA-0001,"11,606",48,5,29,33
true,M,Partially Locked,05/21/2020 11:07:43 AM,M216,,,M216,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 155 St., 8 Ave. To Harlem River Drive",Holcombe Rucker Park,POINT (-73.93664890621761 40.8291454522946),Adults Allowed,M216-CPA-0001,"13,097",18,4,36,20
,B,Completely Locked,05/21/2020 11:06:22 AM,B251,,,B251-04,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Falmouth St & Oriental Ave,Pat Parlato Plgd,POINT (-73.94673389881325 40.57704542392992),Unknown,B251-CPA-0001,"13,826",32,2,15,36
,X,Completely Locked,05/21/2020 11:10:35 AM,X093,,,X093,,COVID-19 Closure,,,,,Van Nest Park,POINT (-73.86584165949307 40.84348224175955),,,"11,271",59,5,12,32
,Q,Completely Locked,05/21/2020 11:08:54 AM,Q348,,,Q348,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,72 Ave. bet. 112 St. and Grand Central Parkway,Willow Lake Playground,POINT (-73.83696798620232 40.72248846456838),Adults Allowed,Q348-CPA-0001,"14,786",40,3,28,70
,Q,Completely Locked,05/21/2020 11:08:54 AM,Q349,,,Q349,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,75 Ave. bet. Bell Blvd. and 217 St.,Telephone Playground,POINT (-73.7564904706052 40.73864316497183),Adults Allowed,Q349-CPA-0001,"14,506",26,3,16,69
,X,Completely Locked,05/21/2020 11:10:14 AM,X295,,,X295,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Nelson Av bet. Featherbed La and W 174 St,Half-Nelson Playground,POINT (-73.91946044960264 40.84659447534996),Adults not allowed in some locations,X295-CPA-0001,"10,931",6,5,29,29
,Q,Not Lockable,05/21/2020 11:08:01 AM,Q011,,,Q011,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"20 Ave., 21 Ave. bet. 123 St. and 124 St.",Poppenhusen Playground,POINT (-73.84453372588767 40.7813709014247),Adults Allowed,Q011-CPA-0001,"14,191",22,3,20,67
,M,Completely Locked,05/21/2020 11:07:57 AM,M395,,,M395,,COVID-19 Closure,,false,Not Applicable,La Guardia Pl. bet. W. 3 St. and Bleecker St.,Fiorello La Guardia Park,POINT (-73.99807460777143 40.72885529880294),Adults not allowed in some locations,M395-CPA-0001,"12,075",57,4,32,3
,B,Completely Locked,05/21/2020 11:10:20 AM,B223A,,,B223A,,COVID-19 Closure,,,,"Rapelye St., Hicks St., Coles St.",Dimattina Playground,POINT (-74.00274430472467 40.67996906869151),,,"13,514",14,2,27,48
,Q,Completely Locked,05/21/2020 11:08:10 AM,Q044,,,Q044,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.",L/CPL Thomas P. Noonan Jr. Playground,POINT (-73.92226563885282 40.74114951016331),Adults Allowed,Q044-CPA-0001,"16,861",53,3,33,66
,B,Completely Locked,05/21/2020 11:10:28 AM,B435,,,B435,,COVID-19 Closure,,,,,Tilyou Playground,POINT (-73.95847635254957 40.577945622610216),,,"13,826",21,2,15,35
true,B,Completely Locked,05/21/2020 11:06:46 AM,B323,true,true,B323,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,Hattie Carthan Playground,POINT (-73.94649928796208 40.68561922534463),Adults Allowed,B323-CPA-0001,"17,618",69,2,49,51
,M,Completely Locked,05/21/2020 11:07:37 AM,M194,,,M194,,COVID-19 Closure,,false,Not Applicable,"Catherine Slip, Madison St. and South St.",Alfred E. Smith Playground,POINT (-73.99713869035907 40.71117447078115),Adults Allowed,M194-CPA-0001,"13,096",70,4,32,2
,Q,Not Lockable,05/21/2020 11:08:25 AM,Q118,,,Q118,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Liberty Ave. bet. 101 St. and 102 St.,Police Officer Nicholas Demutiis Park,POINT (-73.8394556358225 40.6816237534203),Adults Allowed,Q118-CPA-0001,"24,013",62,3,41,64
,B,Completely Locked,05/21/2020 11:06:41 AM,B305,,,B305,,COVID-19 Closure,,false,Not Applicable,E. 103 St. to E. 104 St. between Ave. J and Ave. K,P.S. 279 Playground,POINT (-73.89329741356441 40.64462491899789),Adults not allowed in some locations,B305-CPA-0001,"13,827",5,2,8,42
,M,Completely Locked,05/21/2020 11:07:14 AM,M047,,,M047-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 114 St & Pleasant,Thomas Jefferson Park Playground,POINT (-73.93461200611999 40.79356556327197),Adults not allowed in some locations,M047-CPA-0001,"12,426",7,4,35,14
,M,Partially Locked,05/21/2020 11:07:02 AM,M009,,true,M009,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Ft Washington Av, W 183 St, Pinehurst Av",Bennett Park,POINT (-73.93801412399652 40.85321800188917),Adults Allowed,M009-CPA-0001,"13,091",47,4,39,22
,B,Completely Locked,05/21/2020 11:06:06 AM,B169B,,,B169B,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",Poseidon Playground,POINT (-73.99222123120373 40.57199162234597),Adults Allowed,B169B-CPA-0001,"18,184",21,2,45,35
,B,Completely Locked,05/21/2020 11:05:57 AM,B131,,,B131,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Arberdeen St., Furman Ave. north of Bushwick Ave.",Rudd Playground,POINT (-73.90523408122806 40.68335206662396),Adults Allowed,B131-CPA-0001,"17,214",42,2,37,53
,Q,Not Lockable,05/21/2020 11:09:06 AM,Q402,,,Q402,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,167 St. bet. 108 Dr. and 109 Ave.,Latimer Playground,POINT (-73.78579784218152 40.69653831066628),Adults Allowed,Q402-CPA-0001,"24,668",41,3,6,61
,Q,Not Lockable,05/21/2020 11:08:00 AM,Q005,,,Q005-11,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,150 St & 130 Ave,Baisley Park South,POINT (-73.78813588044004 40.66921165999442),Unknown,Q005-CPA-0004,"24,669",41,3,46,71
